"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance"
"32",660853,"De Los Santos, Enyel","32","100.0","0.333","0.167","0.500","0.500","0.444","0.320","0.189","2","6","86.0","16.0","2208","95.9","94.91","6","22","10","-1.0","5.86","111","152","114","148","301","320","283"
"32",502327,"Santiago, Héctor","32","100.0","0.250","0.250","0.250","0.500","0.324","0.236","0.088","1","4","95.6","39.5","2114","91.7","90.97","4","15","17","-0.7","5.90","113","152","112","147","302","320","284"
"32",593619,"Tapia, Domingo","32","100.0","0.400","0.000","0.444","0.400","0.384","0.445","0.427","4","10","99.6","4.9","2218","98.1","88.17","5","19","13","-9.9","5.93","116","154","124","150","303","325","298"
"31",605538,"Wisler, Matt","31","100.0","0.300","0.300","0.333","0.600","0.408","0.538","0.401","3","10","101.4","14.6","2173","91.6","91.07","2","11","20","-0.5","6.02","113","153","116","148","297","322","297"
"31",656981,"Solomon, Peter","31","100.0","0.143","0.000","0.200","0.143","0.197","0.167","0.099","1","7","79.0","24.6","2182","89.1","88.70","5","16","15","-0.4","6.11","108","148","125","151","289","323","295"
"30",598287,"Ramirez, Noé","30","100.0","0.333","0.667","0.200","1.000","0.568","0.575","0.384","2","6","96.3","29.7","2382","85.0","84.58","0","10","20","-0.4","5.96","101","155","119","149","289","323","305"
"30",640464,"Stewart, Kohl","30","100.0","0.250","0.000","0.286","0.250","0.273","0.318","0.295","2","8","97.1","1.7","2007","90.5","90.77","2","9","21","0.3","6.58","106","156","120","150","300","326","300"
"30",613534,"Adams, Austin","30","100.0","0.250","0.500","1.000","0.750","0.455","0.237","0.077","1","4","95.9","27.0","2670","94.5","93.81","3","7","23","-0.7","5.92","112","156","128","145","299","319","306"
"29",650347,"Madero, Luís","29","100.0","0.429","0.714","0.333","1.143","0.643","0.319","0.230","3","7","88.5","31.4","2434","84.6","85.13","4","11","18","0.5","6.79","109","148","117","145","294","313","290"
"29",501789,"Harris, Will","29","100.0","0.222","0.111","0.333","0.333","0.237","0.171","0.171","2","9","84.6","-10.3","2543","80.8","80.93","5","15","14","0.1","6.69","111","154","123","149","309","318","298"
"29",488748,"Buchter, Ryan","29","100.0","0.375","0.625","0.333","1.000","0.581","0.444","0.293","3","8","94.3","22.4","2304","87.4","87.83","1","12","17","0.4","6.75","108","151","118","147","305","332","308"
